Calculation started with 1 processes.
R_esc = 452.228
R_LC = 1591.55
Emission mode = O
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 -15 0.00484127 -0.000909461 1.75649
1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
-15 0.00484127 -0.000909461 1.75649
